kepid,kepoi_name,koi_disposition_pred,koi_disposition_pred_value
2716979,K06291.01,FALSE POSITIVE,0.003254699520766735
2834463,K06293.01,FALSE POSITIVE,0.20144836604595184
4567118,K06425.01,FALSE POSITIVE,0.000269735959591344
5263167,K06546.01,FALSE POSITIVE,0.14135237038135529
6265961,K06680.01,CONFIRMED,0.9281779527664185
7103300,K06819.01,FALSE POSITIVE,0.0006237297784537077
8007675,K06949.01,FALSE POSITIVE,0.0026484972331672907
9651602,K07215.01,FALSE POSITIVE,0.16124972701072693
10586619,K07345.01,CONFIRMED,0.9072278738021851
11773625,K07479.01,CONFIRMED,0.9333451986312866
2970670,K06299.01,CONFIRMED,0.8496274352073669
2994092,K06301.01,CONFIRMED,0.7933804392814636
8297017,K07879.01,FALSE POSITIVE,0.015235187485814095
5295206,K06557.01,CONFIRMED,0.8712430596351624
6307000,K06687.01,FALSE POSITIVE,0.020655380561947823
6345758,K06689.01,CONFIRMED,0.5137959718704224
8016692,K06954.01,FALSE POSITIVE,0.0946320965886116
8042644,K06957.01,FALSE POSITIVE,0.006571137346327305
8760760,K07088.01,FALSE POSITIVE,0.052613984793424606
8807057,K07093.01,FALSE POSITIVE,0.36818262934684753
9658089,K07220.01,FALSE POSITIVE,0.08891543000936508
9674320,K07223.01,CONFIRMED,0.6952566504478455
9693803,K07224.01,FALSE POSITIVE,0.0015583527274429798
10659624,K07354.01,CONFIRMED,0.884753942489624
10665228,K07358.01,FALSE POSITIVE,0.00802998524159193
11825996,K07483.01,FALSE POSITIVE,0.002150666667148471
11854636,K07484.01,FALSE POSITIVE,0.010050437413156033
11904704,K07489.01,FALSE POSITIVE,0.030483810231089592
6368222,K06697.01,FALSE POSITIVE,0.008209941908717155
6372268,K06698.01,FALSE POSITIVE,0.022401316091418266
7135549,K06835.01,FALSE POSITIVE,0.0033087346237152815
8091197,K06960.01,CONFIRMED,0.9060245156288147
8098960,K06966.01,CONFIRMED,0.925951361656189
8815279,K07094.01,FALSE POSITIVE,0.0021903901360929012
8845552,K07099.01,FALSE POSITIVE,0.0077052731066942215
9726452,K07226.01,FALSE POSITIVE,0.0025466694496572018
9790965,K07231.02,FALSE POSITIVE,4.2531408082913114e-13
9811915,K07232.01,CONFIRMED,0.5912362933158875
10665749,K07359.01,FALSE POSITIVE,0.001866280916146934
10670112,K07360.01,FALSE POSITIVE,0.0002746952523011714
10680424,K07361.01,FALSE POSITIVE,0.007969226688146591
5897826,K00126.02,FALSE POSITIVE,0.004413487855345011
3240158,K01106.03,CONFIRMED,0.961432695388794
2837111,K01110.02,FALSE POSITIVE,0.1154010146856308
3246867,K06315.01,FALSE POSITIVE,0.0036214205902069807
3249334,K06318.01,FALSE POSITIVE,0.0024729701690375805
3324069,K06320.01,FALSE POSITIVE,0.00017259162268601358
4760959,K06449.01,FALSE POSITIVE,0.0006884047179482877
4764969,K06450.01,FALSE POSITIVE,0.0014971792697906494
4830859,K06454.01,FALSE POSITIVE,0.00180563994217664
5353938,K06568.01,CONFIRMED,0.9445105195045471
5380812,K06570.01,FALSE POSITIVE,0.006965108215808868
6423922,K06705.01,FALSE POSITIVE,0.0017881443491205573
6436505,K06707.01,CONFIRMED,0.9710147380828857
8488381,K07888.01,FALSE POSITIVE,0.004099882207810879
8115647,K06970.01,CONFIRMED,0.8952031135559082
8120820,K06971.01,CONFIRMED,0.8290067315101624
8881169,K07106.01,CONFIRMED,0.5041443705558777
8953278,K07111.01,FALSE POSITIVE,0.001598827075213194
9821428,K07235.01,FALSE POSITIVE,0.0009621731587685645
9837013,K07236.01,CONFIRMED,0.8349996209144592
10751908,K07370.01,FALSE POSITIVE,0.003012446453794837
10812541,K07375.01,CONFIRMED,0.8789153695106506
12016243,K07506.01,CONFIRMED,0.6852359771728516
11129738,K01427.02,CONFIRMED,0.9263152480125427
10028792,K01574.04,CONFIRMED,0.7598289847373962
4860678,K01602.02,CONFIRMED,0.9731234908103943
5531953,K01681.04,CONFIRMED,0.9495917558670044
7765528,K01840.02,FALSE POSITIVE,0.180547833442688
5456979,K06579.01,CONFIRMED,0.9150865077972412
5466109,K06582.01,FALSE POSITIVE,0.17316892743110657
7217088,K06849.01,CONFIRMED,0.9919513463973999
8145958,K06978.01,CONFIRMED,0.8846564292907715
8155654,K06980.01,CONFIRMED,0.6318156719207764
8167504,K06983.01,CONFIRMED,0.9484415650367737
8958811,K07116.01,FALSE POSITIVE,0.2158714234828949
8958939,K07117.01,FALSE POSITIVE,0.002685951068997383
8958939,K07117.02,FALSE POSITIVE,0.00605635903775692
10815677,K07376.01,CONFIRMED,0.6168571710586548
10848097,K07380.01,FALSE POSITIVE,0.0019585988484323025
